Sno,States,Sex_Ratio,Child_Sex_Ratio
1,Kerala,1084,964
2,Puducherry,1037,967
3,Tamil Nadu,996,943
4,Andhra Pradesh,993,939
5,Chhattisgarh,991,969
6,Meghalaya,989,970
7,Manipur,985,930
8,Odisha,979,941
9,Mizoram,976,970
10,Goa,973,942
11,Karnataka,973,948
12,Himachal Pradesh,972,909
13,Uttarakhand,963,890
14,Tripura,960,957
15,Assam,958,962
16,West Bengal,950,956
17,Jharkhand,948,948
18,Lakshadweep,946,911
19,Arunachal Pradesh,938,972
20,Nagaland,931,943
21,Madhya Pradesh,931,918
22,Maharashtra,929,894
23,Rajasthan,928,888
24,Gujarat,919,890
25,Bihar,918,935
26,Uttar Pradesh,912,902
27,Punjab,895,846
28,Sikkim,890,957
29,Jammu and Kashmir,889,862
30,Haryana,861,834
31,Andaman and Nicobar Islands,876,968
32,Delhi,868,871
33,Chandigarh,818,880
34,Dadra and Nagar Haveli,774,926
35,Daman and Diu,710,904
